Gemeente,Provincie,inw-2025,Zorgkantoor regio,Regiobeeld,RSO,RSO status,RSO NL lid,ROS,RegioPlus
Aalten,Gelderland,27566,Arnhem,Achterhoek,Vereniging Digitalisering Zorg Achterhoek,RSO i.o.,Aspirant-lid,Proscoop,Utrechtzorg/WGV/WZW
Berkelland,Gelderland,43941,Arnhem,Achterhoek,Vereniging Digitalisering Zorg Achterhoek,RSO i.o.,Aspirant-lid,Proscoop,Utrechtzorg/WGV/WZW
Bronckhorst,Gelderland,36000,Arnhem,Achterhoek,Vereniging Digitalisering Zorg Achterhoek,RSO i.o.,Aspirant-lid,Proscoop,Utrechtzorg/WGV/WZW
Doetinchem,Gelderland,60371,Arnhem,Achterhoek,Vereniging Digitalisering Zorg Achterhoek,RSO i.o.,Aspirant-lid,Proscoop,Utrechtzorg/WGV/WZW
Montferland,Gelderland,36998,Arnhem,Achterhoek,Vereniging Digitalisering Zorg Achterhoek,RSO i.o.,Aspirant-lid,Proscoop,Utrechtzorg/WGV/WZW
Oost Gelre,Gelderland,29919,Arnhem,Achterhoek,Vereniging Digitalisering Zorg Achterhoek,RSO i.o.,Aspirant-lid,Proscoop,Utrechtzorg/WGV/WZW
Oude IJsselstreek,Gelderland,39612,Arnhem,Achterhoek,Vereniging Digitalisering Zorg Achterhoek,RSO i.o.,Aspirant-lid,Proscoop,Utrechtzorg/WGV/WZW
Winterswijk,Gelderland,29302,Arnhem,Achterhoek,Vereniging Digitalisering Zorg Achterhoek,RSO i.o.,Aspirant-lid,Proscoop,Utrechtzorg/WGV/WZW
Dalfsen,Overijssel,30254,Zwolle,IJssel-Vecht,Samen Gezond IJssel-Vecht i.o. ,RSO i.o.,Aspirant-lid,Proscoop,WGV Zorg & Welzijn
Hardenberg,Overijssel,63939,Zwolle,IJssel-Vecht,Samen Gezond IJssel-Vecht i.o. ,RSO i.o.,Aspirant-lid,Proscoop,WGV Zorg & Welzijn
Kampen,Overijssel,56804,Zwolle,IJssel-Vecht,Samen Gezond IJssel-Vecht i.o. ,RSO i.o.,Aspirant-lid,Proscoop,WGV Zorg & Welzijn
Ommen,Overijssel,19296,Zwolle,IJssel-Vecht,Samen Gezond IJssel-Vecht i.o. ,RSO i.o.,Aspirant-lid,Proscoop,WGV Zorg & Welzijn
Staphorst,Overijssel,18169,Zwolle,IJssel-Vecht,Samen Gezond IJssel-Vecht i.o. ,RSO i.o.,Aspirant-lid,Proscoop,WGV Zorg & Welzijn
Steenwijkerland,Overijssel,45876,Zwolle,IJssel-Vecht,Samen Gezond IJssel-Vecht i.o. ,RSO i.o.,Aspirant-lid,Proscoop,WGV Zorg & Welzijn
Zwartewaterland,Overijssel,23660,Zwolle,IJssel-Vecht,Samen Gezond IJssel-Vecht i.o. ,RSO i.o.,Aspirant-lid,Proscoop,WGV Zorg & Welzijn
Zwolle,Overijssel,134089,Zwolle,IJssel-Vecht,Samen Gezond IJssel-Vecht i.o. ,RSO i.o.,Aspirant-lid,Proscoop,WGV Zorg & Welzijn
's-Hertogenbosch,Noord-Brabant,162034,Noord-Oost Brabant,Noord-Oost Brabant,RSO Noord-Oost Brabant i.o.,RSO i.o.,Aspirant-lid,Robuust,Transvorm/WZW
Bernheze,Noord-Brabant,32836,Noord-Oost Brabant,Noord-Oost Brabant,RSO Noord-Oost Brabant i.o.,RSO i.o.,Aspirant-lid,Robuust,Transvorm/WZW
Boekel,Noord-Brabant,11606,Noord-Oost Brabant,Noord-Oost Brabant,RSO Noord-Oost Brabant i.o.,RSO i.o.,Aspirant-lid,Robuust,Transvorm/WZW
Boxtel,Noord-Brabant,34355,Noord-Oost Brabant,Noord-Oost Brabant,RSO Noord-Oost Brabant i.o.,RSO i.o.,Aspirant-lid,Robuust,Transvorm/WZW
Land van Cuijk,Noord-Brabant,93485,Noord-Oost Brabant,Noord-Oost Brabant,RSO Noord-Oost Brabant i.o.,RSO i.o.,Aspirant-lid,Robuust,Transvorm/WZW
Maasdriel,Gelderland,26267,Noord-Oost Brabant,Noord-Oost Brabant,RSO Noord-Oost Brabant i.o.,RSO i.o.,Aspirant-lid,Mura Zorgadvies,Transvorm/WZW
Maashorst,Noord-Brabant,60033,Noord-Oost Brabant,Noord-Oost Brabant,RSO Noord-Oost Brabant i.o.,RSO i.o.,Aspirant-lid,Robuust,
Meierijstad,Noord-Brabant,85192,Noord-Oost Brabant,Noord-Oost Brabant,RSO Noord-Oost Brabant i.o.,RSO i.o.,Aspirant-lid,Robuust,Transvorm/WZW
Oss,Noord-Brabant,95513,Noord-Oost Brabant,Noord-Oost Brabant,RSO Noord-Oost Brabant i.o.,RSO i.o.,Aspirant-lid,Robuust,Transvorm/WZW
Sint-Michielsgestel,Noord-Brabant,30198,Noord-Oost Brabant,Noord-Oost Brabant,RSO Noord-Oost Brabant i.o.,RSO i.o.,Aspirant-lid,Robuust,Transvorm/WZW
Vught,Noord-Brabant,33270,Noord-Oost Brabant,Noord-Oost Brabant,RSO Noord-Oost Brabant i.o.,RSO i.o.,Aspirant-lid,Robuust,Transvorm/WZW
Zaltbommel,Gelderland,30631,Noord-Oost Brabant,Noord-Oost Brabant,RSO Noord-Oost Brabant i.o.,RSO i.o.,Aspirant-lid,Mura Zorgadvies,Transvorm/WZW
Hattem,Gelderland,12821,Zwolle,Noord-Veluwe en Zeewolde,Samen Gezond IJssel-Vecht i.o. ,RSO i.o.,Aspirant-lid,Proscoop,WGV Zorg & Welzijn
Berg en Dal,Gelderland,35739,Nijmegen,Rijk van Nijmegen,NOEL,RSO i.o.,Aspirant-lid,Proscoop,WZW/Zorg aan Zet
Beuningen,Gelderland,26868,Nijmegen,Rijk van Nijmegen,NOEL,RSO i.o.,Aspirant-lid,Proscoop,WZW/Zorg aan Zet
Druten,Gelderland,19983,Nijmegen,Rijk van Nijmegen,NOEL,RSO i.o.,Aspirant-lid,Proscoop,WZW/Zorg aan Zet
Gennep,Limburg,17909,Nijmegen,Rijk van Nijmegen,NOEL,RSO i.o.,Aspirant-lid,Proscoop,WZW/Zorg aan Zet
Heumen,Gelderland,16980,Nijmegen,Rijk van Nijmegen,NOEL,RSO i.o.,Aspirant-lid,Proscoop,WZW/Zorg aan Zet
Mook en Middelaar,Limburg,8128,Nijmegen,Rijk van Nijmegen,NOEL,RSO i.o.,Aspirant-lid,Proscoop,WZW/Zorg aan Zet
Nijmegen,Gelderland,189717,Nijmegen,Rijk van Nijmegen,NOEL,RSO i.o.,Aspirant-lid,Proscoop,WZW/Zorg aan Zet
West Maas en Waal,Gelderland,20747,Nijmegen,Rijk van Nijmegen,NOEL,RSO i.o.,Aspirant-lid,Mura Zorgadvies,WZW/Zorg aan Zet
Wijchen,Gelderland,42054,Nijmegen,Rijk van Nijmegen,NOEL,RSO i.o.,Aspirant-lid,Proscoop,WZW/Zorg aan Zet
Aalsmeer,Noord-Holland,33335,Amstelland-Meerlanden,Amstelland-Meerlanden,Sigra,RSO,Lid,Reos,Sigra
Amstelveen,Noord-Holland,95887,Amstelland-Meerlanden,Amstelland-Meerlanden,Sigra,RSO,Lid,Reos,Sigra
Haarlemmermeer,Noord-Holland,166669,Amstelland-Meerlanden,Amstelland-Meerlanden,Sigra,RSO,Lid,Reos,Sigra
Ouder-Amstel,Noord-Holland,14483,Amstelland-Meerlanden,Amstelland-Meerlanden,Sigra,RSO,Lid,Reos,Sigra
